Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
F2  Knox Street,8967,51.5209999,-0.161569998,Westminster City Council,W1H 1FZ,"F2, Knox Street/F2 Westminster City Council",4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F2  Upper Montagu Street,8968,51.5190582,-0.160109997,Westminster City Council,W1H 2LH,"F2, Upper Montagu Street/F2 Westminster City Council",3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F2  Upper Montagu Street,8969,51.5209007,-0.160929993,Westminster City Council,W1H 1SE,"F2, Upper Montagu Street/F2 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F2  Montagu Square,8971,51.5186195,-0.159830004,Westminster City Council,W1H 2LJ,"F2, Montagu Square/F2 Westminster City Council",3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F2  Gloucester Place,8972,51.5174484,-0.157790005,Westminster City Council,W1U 8HX,"F2, Gloucester Place/F2 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F3  Montagu Street,8973,51.5160294,-0.158649996,Westminster City Council,W1H 7EZ,"F3, Montagu Street/F3 Westminster City Council",2,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F3  Great Cumberland Place,8974,51.5157509,-0.160030007,Westminster City Council,W1H 7BS,"F3, Great Cumberland Place/F3 Westminster City Council",11,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Brown Street,8976,51.5166588,-0.162640005,Westminster City Council,W1H 5TE,"F5, Brown Street/F5 Westminster City Council",8,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Harrowby Street,8977,51.5176811,-0.163530007,Westminster City Council,W1H 5HX,"F5, Harrowby Street/F5 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Shouldham Street,8978,51.5183983,-0.164049998,Westminster City Council,W1H 5FJ,"F5, Shouldham Street/F5 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Molyneux Street,8979,51.5177002,-0.164140001,Westminster City Council,W1H 5HN,"F5, Molyneux Street/F5 Westminster City Council",4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Crawford Place,8982,51.5180511,-0.166219994,Westminster City Council,W1H 4LD,"F5, Crawford Place/F5 Westminster City Council",3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Homer Street,8983,51.5195999,-0.165150002,Westminster City Council,W1H 4NJ,"F5, Homer Street/F5 Westminster City Council",4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F5  Bryanston Place,8984,51.5185204,-0.16212,Westminster City Council,W1H 2DE,"F5, Bryanston Place/F5 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F4  Burwood Place,8985,51.5165215,-0.166500002,Westminster City Council,W2 2DA,"F4, Burwood Place/F4 Westminster City Council",1,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F4  Kendal Street,8986,51.5153694,-0.165270001,Westminster City Council,W2 2BP,"F4, Kendal Street/F4 Westminster City Council",11,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F4  Porchester Place,8987,51.5149117,-0.165399998,Westminster City Council,W2 2BS,"F4, Porchester Place/F4 Westminster City Council",3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F4  Connaught Square,8988,51.5147514,-0.16392,Westminster City Council,W2 2HJ,"F4, Connaught Square/F4 Westminster City Council",6,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F4  Connaught Street,8989,51.5148888,-0.163479999,Westminster City Council,W2 2BH,"F4, Connaught Street/F4 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Albion Street,8990,51.5139809,-0.166879997,Westminster City Council,W2 2AX,"F1, Albion Street/F1 Westminster City Council",4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F4  Connaught Street,8991,51.5142403,-0.167730004,Westminster City Council,W2 2AE,"F4, Connaught Street/F4 Westminster City Council",7,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Hyde Park St,8992,51.5127792,-0.167649999,Westminster City Council,W2 2LW,"F1, Hyde Park St/F1 Westminster City Council",5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Hyde Park St,8993,51.5146904,-0.16832,Westminster City Council,W2 2JS,"F1, Hyde Park St/F1 Westminster City Council",4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Radnor Place,8994,51.5147705,-0.16979,Westminster City Council,W2 2TD,"F1, Radnor Place/F1 Westminster City Council",7,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Southwick Street,8995,51.5163994,-0.169909999,Westminster City Council,W2 2RN,"F1, Southwick Street/F1 Westminster City Council",6,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Sussex Place,8996,51.5140686,-0.172130004,Westminster City Council,W2 2TJ,"F1, Sussex Place/F1 Westminster City Council",4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Gloucester Sq,8997,51.5149994,-0.170780003,Westminster City Council,RM13 8UB,"F1, Gloucester Sq/F1 Westminster City Council",2,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F1  Bathurst Street,8998,51.5127983,-0.174820006,Westminster City Council,W2 2TZ,"F1, Bathurst Street/F1 Westminster City Council",3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F3  Wigmore Street,8999,51.5158882,-0.151329994,Westminster City Council,W1U 1QQ,"F3, Wigmore Street/F3 Westminster City Council",3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
On-Street Zone 5 - Basford,9001,52.9826698,-1.19284999,Nottingham City Council,NG6,On-Street Zone 5 - Basford/Nottingham,19,Car,14 April 2023,24hrs,£1.70,,10p,10p,1 Day,Up to Maximum stay,No,On street,1
On-Street Zone 5 - Bilborough,9004,52.9639091,-1.21460998,Nottingham City Council,NG8,On-Street Zone 5 - Bilborough/Nottingham,75,Car,14 April 2023,24hrs,£1.70,,10p,10p,5 Days,Up to Maximum stay,Yes,On street,1
Amersham Multi Storey Car Park,9020,51.6739998,-0.604900002,Buckinghamshire Council,HP6 5AP,Amersham Multi Storey Car Park/Amersham,110,Car,03 April 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Chiltern Avenue Car Park,9021,51.6764984,-0.602199972,Buckinghamshire Council,HP6 5AH,Chiltern Avenue Car Park/Amersham,110,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,5 Hours,Up to Maximum stay,No,Off street,1
Link Road Car Park,9022,51.705101,-0.706700027,Buckinghamshire Council,HP16 9AE,Link Road Car Park/Great Missenden,72,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Sycamore Road Car Park,9024,51.6791,-0.606999993,Buckinghamshire Council,HP6 5EQ,Sycamore Road Car Park/Amersham,265,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Amersham Old Town Car Park,9025,51.6665993,-0.612659991,Buckinghamshire Council,HP7 0HL,Amersham Old Town Car Park/Amersham,186,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Snells Wood Car Park,9026,51.6668015,-0.566500008,Buckinghamshire Council,HP7 9QA,Snells Wood Car Park/Little Chalfont,47,"Car, HGV/LGV, Motorcycle",28 March 2023,Monday to Saturday 7:30am - 6:00pm,Free,15p,10p,10p,5 Hours,Up to Maximum stay,No,Off street,3
Albany Place Car Park,9027,51.7081299,-0.61164999,Buckinghamshire Council,HP5 1LL,Albany Place Car Park/Chesham,66,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.10,15p,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Catlings Car Park,9028,51.7048988,-0.613499999,Buckinghamshire Council,HP5 1DS,Catlings Car Park/Chesham,44,Car,20 March 2023,Monday to Saturday 7:30am - 4:00pm,£0.10,15p,10p,10p,4 Hours,Never,No,Off street,1
East Street Car Park,9029,51.7052002,-0.611500025,Buckinghamshire Council,HP5 1DA,East Street Car Park/Chesham,12,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Star Yard Car Park,9030,51.7058182,-0.613550007,Buckinghamshire Council,HP5 1EP,Star Yard Car Park/Chesham,152,"Car, HGV/LGV, Motorcycle",28 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,3 Hours,Never,No,Off street,3
Water Meadow Car Park,9031,51.7028999,-0.615100026,Buckinghamshire Council,HP5 1LF,Water Meadow Car Park/Chesham,164,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,£0.80,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Buryfield Car Park,9033,51.7047997,-0.705500007,Buckinghamshire Council,HP16 9AE,Buryfield Car Park/Great Missenden,41,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,Free,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
High Street Car Park,9034,51.6994781,-0.738950014,Buckinghamshire Council,HP16 9ER,High Street Car Park/Prestwood,41,"Car, HGV/LGV, Motorcycle",28 March 2023,Monday to Saturday 7:30am - 6:00pm,Free,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,3
Church Lane Car Park,9035,51.6082687,-0.556640029,Buckinghamshire Council,SL9 9RS,Church Lane Car Park/Chalfont St Peter,160,"Car, HGV/LGV, Motorcycle",28 March 2023,Monday to Saturday 7:30am - 6:00pm,Free,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,3
Blizzards Yard Car Park,9036,51.6334381,-0.569620013,Buckinghamshire Council,HP8 4QA,Blizzards Yard Car Park/Chalfont St Giles,76,Car,20 March 2023,Monday to Saturday 7:30am - 6:00pm,Free,15p,10p,10p,6 Days,Up to Maximum stay,No,Off street,1
Whielden Street,9039,51.6624107,-0.620850027,Buckinghamshire Council,HP7 0JD,Whielden Street/Amersham,0,Car,09 March 2023,Monday to Friday 8:00am - 5:00pm,£1.70,15p,10p,10p,9 Hours,Up to Maximum stay,No,On street,1
King George V Road,9040,51.6740112,-0.603280008,Buckinghamshire Council,HP6 5AW,King George V Road/Amersham,0,Car,09 March 2023,Monday to Saturday 8:00am - 6:00pm,£0.70,15p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Station Road,9041,51.7056808,-0.612030029,Buckinghamshire Council,HP5 1DH,Station Road/Chesham,0,Car,09 March 2023,Monday to Saturday 8:00am - 7:00pm,£1.20,15p,10p,10p,1 Hour,Up to Maximum stay,No,On street,1
Little Chalfont On Street,9042,51.6675606,-0.562059999,Buckinghamshire Council,HP7 9PR,Little Chalfont On Street/Little Chalfont,0,Car,03 April 2023,Monday to Friday 8:00am - 6:00pm,£0.80,15p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Spring Gardens Car Park,9050,51.9948997,-2.15450001,Tewkesbury Borough Council,GL20 5DN,Spring Gardens Car Park/Tewkesbury,286,Car,07 April 2016,Monday to Saturday 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Rails Meadow Car Park,9051,51.9916306,-2.15478992,Tewkesbury Borough Council,GL20 5PY,Rails Meadow Car Park/Tewkesbury,127,Car,18 February 2016,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Oldbury Road Car Park,9052,51.9954185,-2.1542201,Tewkesbury Borough Council,GL20 5LR,Oldbury Road Car Park/Tewkesbury,96,Car,18 February 2016,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
St Mary's Lane Car Park,9053,51.9921188,-2.16002011,Tewkesbury Borough Council,GL20 5SL,St Mary's Lane Car Park/Tewkesbury,45,Car,18 February 2016,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Station Road Car Park,9054,51.9951897,-2.14819002,Tewkesbury Borough Council,GL20 5DR,Station Road Car Park/Tewkesbury,74,Car,16 February 2016,24hrs,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Gloucester Road Car Park,9055,51.9888992,-2.16371012,Tewkesbury Borough Council,GL20 5SW,Gloucester Road Car Park/Tewkesbury,46,"Car, HGV/LGV, Coach",18 February 2016,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,3
Vineyards Car Park,9056,51.9897308,-2.15767002,Tewkesbury Borough Council,GL20 5PG,Vineyards Car Park/Tewkesbury,126,Car,18 February 2016,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Bishops Walk Car Park,9057,51.9952698,-2.15552998,Tewkesbury Borough Council,GL20 5RX,Bishops Walk Car Park/Tewkesbury,45,Car,18 February 2016,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Back Lane Car Park,9058,51.9543114,-1.96670997,Tewkesbury Borough Council,GL20 5RX,Back Lane Car Park/Tewkesbury,98,Car,14 April 2016,24hrs,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Bull Lane Car Park,9059,51.954689,-1.96431994,Tewkesbury Borough Council,GL20 5HY,Bull Lane Car Park/Tewkesbury,41,Car,10 November 2021,All Week 8:00am - 5:30pm,£1.00,,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Hereford Lads Club Car Park,9111,52.0647011,-2.72075009,The Corporate Group,HR4 9NA,Hereford Lads Club Car Park/Herefordshire,50,Car,25 January 2021,All Week,£1.00,20p,10p,10p,24 Hours,Forever,Yes,Off street,1
The Point 4 Car Park,9112,52.0679512,-2.70503998,The Corporate Group,HR1 2DT,The Point 4 Car Park/Hereford,150,Car,02 August 2022,All Week,Free,20p,10p,10p,24 Hours,Up to Maximum stay,Yes,Off street,1
Blueschool Street Car Park,9113,52.0582619,-2.71349001,The Corporate Group,HR1 2AR,Blueschool Street Car Park/Hereford,20,Car,10 February 2022,All Week,£1.20,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Courtyard Theatre Pay & Stay Car Park,9114,52.0612793,-2.71977997,The Corporate Group,HR4 9JR,Courtyard Theatre Pay + Stay Car Park/Hereford,75,Car,27 August 2022,Monday to Saturday,Free,20p,10p,10p,17 Hours,Up to Maximum stay,No,Off street,1
Old Vicarage Complex Pay & Display Car Park,9115,52.1905785,-2.50710011,The Corporate Group,HR7 4DU,Old Vicarage Complex Pay + Display Car Park/Bromyard,50,Car,08 March 2022,Monday to Saturday 8:00am - 6:00pm,Free,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Tenbury Road Pay & Display Car Park,9116,52.1905899,-2.50869012,The Corporate Group,HR7 4LL,Tenbury Road Pay + Display Car Park/Bromyard,25,Car,08 March 2022,All Week 8:00am - 6:00pm,£0.50,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Merrywalks Private Car Park,9117,51.7454605,-2.22033,The Corporate Group,GL5 1QA,Merrywalks Private Car Park/Stroud,50,Car,21 December 2022,All Week,£0.75,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Halo Leisure Centre Car Park,9120,52.07024,-2.72311997,The Corporate Group,HR4 9UD,Halo Leisure Centre Car Park/Herefordshire,250,Car,29 July 2013,All Week,£1.00,20p,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Halo Leisure Centre Car Park,9121,52.2238312,-2.73727989,The Corporate Group,HR6 8LL,Halo Leisure Centre Car Park/Leominster,150,Car,29 July 2013,All Week,£1.00,20p,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Wall Street Car Park,9124,52.0577087,-2.71740007,The Corporate Group,HR4 9HP,Wall Street Car Park/Herefordshire,56,Car,27 April 2017,All Week,£1.50,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Leominster Community Hospital Car Park,9125,52.2231483,-2.73955989,The Corporate Group,HR6 8JH,Leominster Community Hospital Car Park/Leominster,50,Car,24 August 2017,All Week 8:00am - Midnight,£1.00,20p,10p,10p,1 Day,Up to Maximum stay,Yes,Off street,1
Bromyard Community Hospital Car Park,9126,52.1862984,-2.50628996,The Corporate Group,HR7 4QN,Bromyard Community Hospital Car Park/Leominster,50,Car,24 August 2017,All Week 8:00am - Midnight,£1.00,20p,10p,10p,1 Day,Up to Maximum stay,Yes,Off street,1
Ross On Wye Community Hospital Car Park,9127,51.9127884,-2.58302999,The Corporate Group,HR9 5AD,Ross On Wye Community Hospital Car Park/Ross on Wye,50,Car,24 August 2017,All Week 8:00am - Midnight,£1.00,20p,10p,10p,1 Day,Up to Maximum stay,Yes,Off street,1
Old Bridge Pay & Display Car Park,9128,52.0519104,-2.71911001,The Corporate Group,HR2 7RE,Old Bridge Pay + Display Car Park/Herefordshire,30,"Car, HGV/LGV, Minibus, Caravan",04 August 2022,Monday to Saturday 6:00am - Midnight,£1.00,20p,10p,10p,24 Hours,Up to Maximum stay,Yes,Off street,4
Theatr Brycheiniog Pay & Display Car Park,9129,51.9439316,-3.38915992,The Corporate Group,LD3 7EW,Theatr Brycheiniog Pay + Display Car Park/Brecon,50,"Car, HGV/LGV, Caravan",13 February 2022,All Week,Free,20p,10p,10p,16 Hours,Forever,Yes,Off street,3
Halo Bridge Street Sports Centre Car Park,9130,52.233429,-2.74584007,The Corporate Group,HR6 8EA,Halo Bridge Street Sports Centre Car Park/Leominster,100,Car,29 July 2013,All Week,£1.00,20p,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
The Salthouse Bar & Restaurant,9132,51.434761,-2.86899996,Premier Park Limited,BS21 7TY,The Salthouse Bar + Restaurant/Clevedon,36,Car,29 October 2021,All Week 10:00am - 9:00pm,£3.00,20p,15p,15p,11 Hours,Up to Maximum stay,No,Off street,1
Nottingham Street Car Park,9135,52.7664413,-0.887880027,Premier Park Limited,LE13 1NW,Nottingham Street Car Park/Melton Mowbray,66,Car,12 July 2019,All Week 5:00pm - 7:30am,£1.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Pier Head Car Park,9136,50.616581,-3.42389989,Premier Park Limited,EX8 1DU,Pier Head Car Park/Exmouth,70,Car,11 April 2018,All Week,£1.00,20p,15p,15p,48 Hours,Up to Maximum stay,No,Off street,1
The White Hart Hotel,9139,52.2434616,0.403780013,Premier Park Limited,CB8 8JP,The White Hart Hotel/Newmarket,43,Car,17 January 2023,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Heartlands,9140,50.2240982,-5.2727499,Premier Park Limited,TR15 3QY,Heartlands/Cornwall,150,Car,22 March 2017,All Week 9:30am - 5:30pm,£2.00,20p,15p,15p,8 Hours,Up to Maximum stay,No,Off street,1
North Court,9143,51.5067101,-3.20017004,Premier Park Limited,CF14 3BA,North Court/Cardiff,20,Car,31 August 2016,24hrs,£5.00,20p,15p,15p,1 Day,Up to Maximum stay,Yes,Off street,1
St Georges Shopping Centre Multi Storey Car Park,9145,51.443821,0.366970003,Premier Park Limited,DA11 0TA,St Georges Shopping Centre Multi Storey Car Park/Gravesend,500,Car,18 February 2020,Monday to Saturday 7:00am - 7:00pm,£2.00,20p,15p,15p,1 Day,Up to Maximum stay,Yes,Off street,1
St Georges Shopping Centre Surface level Car Park,9146,51.4440994,0.367150009,Premier Park Limited,DA11 0TA,St Georges Shopping Centre Surface level Car Park/Gravesend,50,Car,18 February 2020,Monday to Saturday 7:00am - 7:00pm,£2.00,20p,15p,15p,1 Day,Up to Maximum stay,Yes,Off street,1
Clodien House,9147,51.5044098,-3.18422008,Premier Park Limited,CF14 3NS,,0,,,,,,,,,,,,0
Temperance St Car Park,9148,50.4674492,-3.53197002,Premier Park Limited,TQ2 5PU,Temperance St Car Park/Torquay,35,Car,09 March 2023,All Week,£1.40,20p,15p,15p,24 Hours,Up to Maximum stay,Yes,Off street,1
Unite Northernay House,9150,50.7262688,-3.52798009,Premier Park Limited,EX43RY,Unite Northernay House/Exeter,0,Car,14 May 2019,All Week,£3.00,20p,15p,15p,12 Hours,Up to Maximum stay,No,Off street,1
Unite Northfield,9151,50.7313499,-3.54050994,Premier Park Limited,EX44FB,Unite Northfield/Exeter,0,Car,14 May 2019,All Week,£3.00,20p,15p,15p,7 Days,Up to Maximum stay,No,Off street,1
Unite Alexandra Works,9153,50.3821487,-4.12635994,Premier Park Limited,PL47DU,Unite Alexandra Works/Plymouth,0,Car,24 September 2013,All Week,£1.00,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,1
High Cross Street,9159,50.3386688,-4.78977013,Premier Park Limited,PL25 4AN,High Cross Street/St Austell,45,Car,01 March 2023,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Mercury Point  Southampton,9161,50.912159,-1.40023994,Premier Park Limited,SO140GE,"Mercury Point, Southampton/Southampton",14,Car,24 November 2017,All Week 8:00pm - 8:00am,£3.00,20p,15p,15p,60 Hours,Up to Maximum stay,No,Off street,1
Bernie Grants Art Centre,9162,51.5876617,-0.0722400025,Premier Park Limited,N15 4RX,Bernie Grants Art Centre/London,0,Car,02 September 2021,All Week,£1.50,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Church Street,9167,51.3219604,-2.20770001,Premier Park Limited,BA14 8DU,Church Street/Trowbridge,0,Car,22 May 2023,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Exeter Chiefs Rugby Club,9168,50.7090988,-3.46899009,Premier Park Limited,EX2 7NN,Exeter Chiefs Rugby Club/Exeter,350,Car,29 July 2022,All Week,£1.00,20p,15p,15p,168 Hours,Up to Maximum stay,Yes,Off street,1
Wharf Car Park,9170,50.8774681,0.0121400002,Premier Park Limited,BN7 2PE,Wharf Car Park/Lewes,0,Car,02 November 2014,All Week,£0.50,20p,15p,15p,1 Day,Up to Maximum stay,No,Off street,1
Torquay Marina,9172,50.4608803,-3.52661991,Premier Park Limited,TQ25EQ,Torquay Marina/Torquay,70,Car,14 June 2022,All Week,£0.70,20p,15p,15p,14 Days,Up to Maximum stay,No,Off street,1
The Royal Gatehouse Car Park,9178,51.6733093,-4.70250988,Premier Park Limited,SA707ES,The Royal Gatehouse Car Park/Pembrokeshire,40,Car,09 March 2023,All Week,£1.00,20p,15p,15p,7 Days,Up to Maximum stay,Yes,Off street,1
White Lion Street Car Park,9179,51.6733093,-4.70251989,Premier Park Limited,SA707ES,White Lion Street Car Park/Pembrokeshire,40,Car,27 March 2015,All Week,£1.00,20p,15p,15p,7 Days,Up to Maximum stay,Yes,Off street,1
Wharf Parkes Pay & Display,9180,53.3197403,-0.943050027,Premier Park Limited,DN22 6EW,Wharf Parkes Pay + Display/Retford,50,Car,15 May 2023,All Week,£1.00,20p,15p,15p,10 Hours,Up to Maximum stay,No,Off street,1
The Swan,9186,53.1437111,-1.19597006,Premier Park Limited,NG18 1AE,The Swan/Mansfield,30,Car,26 January 2023,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Goals Soccer Centre (next to Elmers End Station),9188,51.3990211,-0.0504200011,Premier Park Limited,BR34EJ,Goals Soccer Centre (next to Elmers End Station)/Beckenham,90,Car,07 June 2023,Monday to Friday,£6.00,20p,15p,15p,4 Weeks,Up to Maximum stay,No,Off street,1
Branscombe Beach,9189,50.6880608,-3.12390995,Premier Park Limited,EX12 3DP,Branscombe Beach/Devon,300,Car,17 February 2023,All Week,£2.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
The Crown,9190,52.5360489,-2.42103004,Premier Park Limited,WV164DB,The Crown/Shropshire,15,Car,19 January 2023,All Week,£1.00,20p,15p,15p,24 Hours,Up to Maximum stay,No,Off street,1
Wonford House Hospital,9196,50.7149391,-3.50640011,Premier Park Limited,EX2 5AF,Wonford House Hospital/Exeter,0,Car,25 May 2016,All Week 8:30am - 8:30pm,£2.50,20p,15p,15p,1 Week,Up to Maximum stay,Yes,Off street,1
Cedars Hospitial,9197,50.7151718,-3.5032599,Premier Park Limited,EX2 5SN,Cedars Hospitial/Exeter,0,Car,25 May 2016,All Week 8:30am - 8:30pm,£2.50,20p,15p,15p,1 Week,Up to Maximum stay,Yes,Off street,1
Grosvenor Leicester,9198,52.6360283,-1.13960004,Premier Park Limited,BR3 4EJ,Grosvenor Leicester/Leicester,90,Car,05 May 2022,All Week,£6.00,20p,15p,15p,10 Hours,Never,No,Off street,1
Terminus Street Car Park,9213,51.770401,0.0961600021,Terminus House Car Park Ltd,CM20 1XA,Terminus Street Car Park/Harlow,700,Car,04 January 2018,All Week,£1.00,20p,10p,10p,14 Days,Up to Maximum stay,Yes,Off street,1
